Autor, Herausgeber oder Institution;Abstract;Jahr ermittelt;Titel;Zeitschrift/Zeitung;Dokumententyp
"Burnard, Trevor; Panza, Laura; Williamson, Jeffrey G.";This paper provides the first quantitative assessment of colonial Jamaican real incomes and income inequality. We collect local prices to construct cost of living and purchasing power parity indicators. The latter lowers Jamaica's GDP per capita compared with the rest of the Atlantic economy. We also compute welfare ratios for a range of occupations and build a social table. We find that, being a net food importer, the slave colony had extremely high living costs, which rose steeply during the American War of Independence, and low standards of living, particularly for its enslaved population, but also for the free unskilled population that competed with slave labor. Our results also show that due to its extreme poverty for the many in the middle of great wealth for the few, Jamaica was the most unequal place yet studied in the pre-modern world. Furthermore, all of these characteristics applied to the free population alone.;2019;Living costs, real incomes and inequality in colonial Jamaica;Explorations in Economic History;Zeitschriftenaufsatz
"Carmona, Juan; Rosés, Joan Ramón; Simpson, James";"Spanish land reform, involving the breakup of the large southern estates, was a central issue during the first decades of the twentieth century, and was justified on economic and political grounds. This article employs new provincial data on landless workers, land prices, and agrarian wages to consider whether government intervention was needed because of the failure of the free action of markets to redistribute land. Our evidence shows that the relative number of landless workers decreased significantly from 1860 to 1930, before the approval of the 1932 Land reform during the Second Republic (1931?6). This was due to two interrelated market forces: the falling ratio between land prices and rural wages, which made plots of land cheaper for landless workers to rent and buy; and structural change that drained the rural population from the countryside Given that shifts in factor prices were already helping workers gain access to land by the 1930s, the economic arguments for introducing reform at that time remain unclear.";2019;The question of land access and the Spanish land reform of 1932;The Economic History Review;Zeitschriftenaufsatz
"Casari, Marco; Lisciandra, Maurizio; Tagliapietra, Claudio";Does property rights allocation on the commons affect marriage strategies and fertility? We focus on the role played by patrilineal vs. egalitarian inheritance systems. Our approach combines a theoretical model and an empirical study that exploits an institutional shock at the turn of the 19th century, which made inheritance on the common property-resources egalitarian for everyone. We report that – as predicted by the model – communities with patrilineal inheritance rights on the commons exhibit higher levels of endogamy and consanguinity and lower fertility than those with egalitarian inheritance rights.;2019;Property Rights, Marriage, and Fertility in the Italian Alps, 1790–1820;Explorations in Economic History;Zeitschriftenaufsatz
"Castañeda Dower, Paul; MARKEVICH, ANDREI";We study the effect of changes in land tenure, launched by the 1906 Stolypin reform, on agricultural productivity in Imperial Russia. The reform allowed peasants to obtain individual land titles and consolidate separated land strips into a single privatized allotment. We present evidence that land consolidations enabled peasants to make independent production decisions from the village commune and take advantage of readily accessible technological advancements. In contrast, land titles decreased land productivity in the short-run, but the overall effect of the reform on land productivity was still positive.;2019;The Stolypin reform and agricultural productivity in late imperial Russia;European Review of Economic History;Zeitschriftenaufsatz
Cermeño, Alexandra L.;Despite the expanding role of services in the global economy, economic history has paid little attention to their geographic localization. This paper provides a description of the increasing specialization and localization patterns of services across US counties compared to other sectors from 1930 to 2010. It stresses that market potential influences most of these changes. I use census employment data by sector to re-examine the debate of comparative advantage vs. economic geography on county location coefficients for services. The interaction between county and industry characteristics shows that the geography of services has been influenced by market potential since 1980. OLS and 2SLS results suggest a cumulative effect of increasing returns to scale that enhanced the agglomeration of services through linkages with other services and manufacturing firms. This provides a complementary view on the transformation of the Manufacturing Belt as the cradle of the service economy.;2019;The driving forces of service localization during the twentieth century: evidence from the United States;European Review of Economic History;Zeitschriftenaufsatz
Chapman, Jonathan;It is well-recognized that both improved nutrition and sanitation infrastructure are important contributors to mortality decline. However, the relative importance of the two factors is difficult to quantify since most studies are limited to testing the effects of specific sanitary improvements. This article uses new historical data regarding total investment in urban infrastructure, measured using the outstanding loan stock, to estimate the extent to which the mortality decline in England and Wales between 1861 and 1900 can be attributed to government expenditure. Fixed effects regressions indicate that infrastructure investment explains approximately 30 per cent of the decline in mortality between 1861 and 1900. Since these specifications may not fully account for the endogeneity between investment and mortality, additional specifications are estimated using lagged investment as an instrument for current investment. These estimates suggest that government investment was the major contributor to mortality decline, explaining up to 60 per cent of the reduction in total urban mortality between 1861 and 1900. Additional results indicate that investment in urban infrastructure led to declines in mortality from both waterborne and airborne diseases.;2019;The contribution of infrastructure investment to Britain's urban mortality decline, 1861–1900;The Economic History Review;Zeitschriftenaufsatz
"CICCARELLI, CARLO; Weisdorf, Jacob L.";Blindfolded by a lack of earlier systematic data, comparative studies of regional developments in historical Italy begin with the formation of the Italian state, in 1861. We use literacy rates reported in post-1861 population censuses combined with the fact that literacy skills were usually achieved during youth to predict regional literacy developments all the way back to 1821. Our analysis informs ongoing debates about the origins and long-run evolution of Italy’s north–south divide. By lifting the veil into Italy’s pre-unification past, we establish that the north–south literacy gap was substantial already in 1821, grew markedly wider in the first half of the nineteenth century, only to revert back in 1911 to the 1821 level. Gender gaps in literacy essentially close in the north during 1821–1911, while in the south they registered a secular stagnation. This opens an avenue for investigating a new dimension of the north–south gap largely overlooked in the existing literature.;2019;Pioneering into the past: Regional literacy developments in Italy before Italy†;European Review of Economic History;Zeitschriftenaufsatz
"Clark, Gregory; Page, Marianne E.";The English Old Poor Law, which before 1834 provided welfare to the elderly, children, the improvident, and the unfortunate, was a bête noire of the new discipline of Political Economy. Smith, Bentham, Malthus, and Ricardo all claimed it created significant social costs and increased rather than reduced poverty. The Poor Law Amendment Act of 1834, drafted by Political Economists, cuts payments sharply. Because local rules on eligibility and provision varied greatly before the 1834 reform, we can estimate the social costs of the extensive welfare provision of the Old Poor Law. Surprisingly there is no evidence of any of the alleged social costs that prompted the harsh treatment of the poor after 1834. Political economy, it seems, was born in sin.;2019;Welfare reform, 1834: Did the New Poor Law in England produce significant economic gains?;Cliometrica;Zeitschriftenaufsatz
"Clay, Karen; Schmick, Ethan; Troesken, Werner";Focusing on the first half of the twentieth century, we explore the rise and fall of pellagra (a disease caused by inadequate niacin consumption) in the American South. We first consider the hypothesis that the South’s monoculture in cotton undermined nutrition by displacing local food production. Consistent with this hypothesis, a difference in differences estimation shows that after the arrival of the boll weevil, food production in affected counties rose while cotton production and pellagra rates fell. The results also suggest that after 1937 improved medical understanding and state fortification laws helped eliminate pellagra.;2019;The Rise and Fall of Pellagra in the American South;The Journal of Economic History;Zeitschriftenaufsatz
COLLANTES, FERNANDO;The rise of a mass, agri-industrial diet after the Second World War was crucial for the culmination of the nutritional transition that western countries had been involved in since the second half of the nineteenth century?but why did the industrial diet triumph? This article takes the massification of dairy consumption in Spain 1965?90 as a study case. Using a newly constructed database and qualitative material within an evolutionary socio-economic framework, the article reaches two conclusions. First, the massification of dairy consumption was linked to most households? transition to a softer budget constraint, which was driven mainly by increasing household incomes (and only secondarily by consumer price reductions caused by food industrialization). Second, the reason why the softening of the budget constraint played such a major role was that it was joined by a substantial increase in consumer trust in dairy products, which in turn resulted from industrial standardization. The article is in line with recent work that underlines the dietary change brought about by food industrialization, but questions whether the latter's major contribution was of a quantitative, price-related nature and suggests that more attention should be paid to the qualitative, preferences-related dimension.;2019;Why did the industrial diet triumph? The massification of dairy consumption in Spain, 1965–90;The Economic History Review;Zeitschriftenaufsatz
"Collins, William J.; Niemesh, Gregory T.";This article tests whether places with higher exposure to unionization during the 1940s, due to their pre-existing industrial composition, tended to have larger declines in wage inequality, conditional on local economic and demographic observables and regional trends. We find a strong negative correlation between exposure to unionization and changes in local inequality from 1940?50 and 1940?60. This does not appear to be underpinned by skill-specific sorting of workers or by firms leaving places with high exposure to unionization. We also find that the correlation between exposure to unionization in the 1940s and the change in inequality after 1940 persists in long-difference regressions to the end of the twentieth century.;2019;Unions and the Great Compression of wage inequality in the US at mid-century: evidence from local labour markets;The Economic History Review;Zeitschriftenaufsatz
"Collins, William J.; Zimran, Ariell";The repeated failure of Ireland's potato crop in the late 1840s led to a major famine and sparked a surge in migration to the US. We build a new dataset of Irish immigrants and their sons by linking males from 1850 to 1880 US census records. For comparison, we also link German and British immigrants, their sons, and males from US native-headed households. We document a decline in the observable human capital of famine-era Irish migrants compared to pre-famine Irish migrants and to other groups in the 1850 census, as well as worse labor market outcomes. The disparity in labor market outcomes persists into the next generation when immigrants’ and natives’ sons are compared in 1880. Nonetheless, we find strong evidence of intergenerational convergence in that famine-era Irish sons experienced a much smaller gap in occupational status in 1880 than their fathers did in 1850. The disparities are even smaller when the Irish children are compared to those from observationally similar native white households. A descriptive analysis of mobility for the children of the famine Irish indicates that having a more Catholic surname and being born in Ireland were associated with less upward mobility. Our results contribute to literatures on immigrant assimilation, refugee migration, and the Age of Mass Migration.;2019;The economic assimilation of Irish Famine migrants to the United States;Explorations in Economic History;Zeitschriftenaufsatz
Connor, Dylan Shane;With more than 30 million people moving to North America during the Age of Mass Migration (1850–1913), governments feared that Europe was losing its most talented workers. Using new data from Ireland in the early twentieth century, I provide evidence to the contrary, showing that the sons of farmers and illiterate men were more likely to emigrate than their literate and skilled counterparts. Emigration rates were highest in poorer farming communities with stronger migrant networks. I constructed these data using new name-based techniques to follow people over time and to measure chain migration from origin communities to the United States.;2019;The Cream of the Crop? Geography, Networks, and Irish Migrant Selection in the Age of Mass Migration;The Journal of Economic History;Zeitschriftenaufsatz
"Cutsinger, Bryan P.; Ingber, Joshua S.";During the U.S. Civil War, the Confederate Congress adopted three currency reforms that were intended to reduce the quantity of Treasury notes in circulation by inducing the money-holding public to exchange their notes for long-term bonds. In this paper, we examine the political factors that influenced the adoption of the reforms and their effect on the flow of seigniorage - revenue that the government derived by using the newly-printed Treasury notes to purchase the goods and services it required. We argue that the bifurcation of the Confederate Congress into two groups – those legislators that represented the Confederacy's interior and those from areas no longer under Confederate control – contributed to the adoption of the reforms. Our findings indicate that representing an area outside of the rebel government's control increased the likelihood that a legislator would support efforts to reform the currency by over 90 percent. In addition, our results indicate that the rate of monetary expansion in the South was below that which would have maximized the revenue from seigniorage. We find that the reforms reduced the flow of seigniorage by approximately 57 percent, depriving the Confederate government of much-needed revenue.;2019;Seigniorage in the Civil War South;Explorations in Economic History;Zeitschriftenaufsatz
"Cvrcek, Tomas; Zajicek, Miroslav";The rise of mass schooling is an important contributor to modern economic growth. But its form, content, scale and manner of provision are all matters of public policy. The rise of modern schooling is frequently cast as a product of broadened suffrage and stronger political voice of the masses, which overcame the political opposition from old ruling elites. We investigate this hypothesis, using the case of a school reform undertaken in Imperial Austria in 1869. We show that large landowners were mildly in favor of school modernization, albeit less than urban and business interests. The strongest opposition came from the rural areas where the suffrage was in fact most numerous. The reform passed in spite of their opposition but, interestingly, post-reform developments suggest that passive resistance to it continued in the countryside in spite of the alleged benefits that education was billed to bring the masses.;2019;The making of a liberal education: Political economy of the Austrian school reform, 1865 – 1880;Explorations in Economic History;Zeitschriftenaufsatz
"Cvrcek, Tomas; Zajicek, Miroslav";"The rise of education features prominently in the debate on the sources of modern economic growth. Existing accounts stress the importance of popular demand for its public provision. We argue that such an explanation for the spread of schooling is a poor fit for many nations’ schooling histories, such as Imperial Austria. We show that in the Austrian case, schooling and economic development had limited impact on each other; that the popular demand for schooling was weak and that the push for school expansion came mainly from the top of the political hierarchy.";2019;The rise of public schooling in nineteenth-century Imperial Austria: Who gained and who paid?;Cliometrica;Zeitschriftenaufsatz
"Depauw, Ewout; Oxley, Deborah";Does adult stature capture conditions at birth or at some other stage in the growth cycle? Anthropometrics is lauded as a method for capturing net nutritional status over all the growing years. However, it is frequently assumed that conditions at birth were most influential. Was this true for historical populations? This article examines the heights of Flemish men born between 1800 and 1876 to tease apart which moments of growth were most sensitive to disruption and reflected in final heights. It exploits two proximate crises in 1846?9 and 1853?6 as shocks that permit age effects to be revealed. These are affirmed through a study of food prices and death rates. Both approaches suggest a shift of the critical moment away from the first few years of life and towards the adolescent growth spurt as the most influential on terminal stature. Furthermore, just as height is accumulated over the growing years, conditions influencing growth need to be understood cumulatively. Economic conditions at the time of birth were not explanatory, but their collective effects from ages 11 to 18 years were strongly influential. At these ages, both health and nutrition mattered, to varying degrees. Teenagers, rather than toddlers, should be our guides to the past.;2019;Toddlers, teenagers, and terminal heights: the importance of puberty for male adult stature, Flanders, 1800–76;The Economic History Review;Zeitschriftenaufsatz
DEVEREUX, JOHN;Puerto Rico became an American colony in 1898, achieving self-rule after the Great Depression. The standard view is that Puerto Rican living standards stagnated before the policy changes of the New Deal and it has lost ground on the mainland since the early 1970s. I show these claims are mistaken. Using a new GDP index for 1900 to 1940, I show that income per capita grew at impressive rates during direct American rule and Puerto Rico escaped the worst ravages of the Great Depression. In addition, I find the recent growth slowdown is partly a statistical artifact.;2019;Arrested Development? Puerto Rico in an American Century;The Journal of Economic History;Zeitschriftenaufsatz
"Donges, Alexander; Selgert, Felix";This article analyses the spread of innovation in mid-nineteenth-century Germany using foreign patents as an indicator for technology transfer. It introduces a new dataset of over 1,400 patents granted in the Grand Duchy of Baden between 1843 and 1877. The data show that Baden's technology import via foreign patents from German and non-German inventors was important. This technology transfer was broadly based, although technologies related to the textile and machine-building industries are prominent in the data. The decision to file a patent in Baden was driven by competition and the risk of imitation. Using a gravity model with city-level data, we find evidence that technology transfer through patents reflected existing trade links. The strong correlation between technologies filed by foreigners and domestic inventors provides further evidence that the risk of imitation fostered patent-based technology transfer during the mid-nineteenth century. Furthermore, we show that foreigners filed patents predominantly in industries that accounted for a high share of the workforce in Baden.;2019;Technology transfer via foreign patents in Germany, 1843–77;The Economic History Review;Zeitschriftenaufsatz
"Dribe, Martin; Eriksson, Björn; Scalone, Francesco";We study the intergenerational social mobility of women by looking at how migration was associated with socioeconomic marriage mobility using complete-count census data for Sweden. The censuses 1880–1900 have been linked at the individual level, enabling us to follow almost 100,000 women from their parental home to their new marital household. Marriage market imbalances were not an important push factor for migration but we find a strong association between migration distance and marriage outcomes, both in terms of overall marriage probabilities and in terms of partner selection by SES. These results highlight the importance of migration for women's intergenerational social mobility during industrialization.;2019;Migration, marriage and social mobility: Women in Sweden 1880–1900;Explorations in Economic History;Zeitschriftenaufsatz
"Duarte, Pablo; Freidinger, Marcel; Hoffmann, Andreas";Although the First World War was ultimately decided in the west, historians have emphasized the importance of the often ?forgotten? Eastern Front in understanding its complex evolution. This article examines the perception of contemporary foreign exchange traders concerning the relative importance of the Eastern Front over time. Using a newly compiled dataset on prisoners of war and on soldiers killed and wounded, we show that traders were concerned with casualties on both fronts, recognizing the significance of the two-front war in the early war years. From the autumn of 1916 onwards, traders seemed to believe the key to winning the war lay in the west only.;2019;Military casualties and exchange rates during the First World War: did the Eastern Front matter?;The Economic History Review;Zeitschriftenaufsatz
Dupraz, Yannick;Cameroon was partitioned between France and the United Kingdom after WWI and then reunited after independence. I use this natural experiment to investigate colonial legacies in education, using a border discontinuity analysis of historical census microdata from 1976. I find that men born in the decades following partition had, all else equal, one more year of schooling if they were born in the British part. This positive British effect disappeared after 1950, as the French increased education expenditure, and because of favoritism in school supply towards the Francophone side after reunification. Using 2005 census microdata, I find that the British advantage resurfaced more recently: Cameroonians born after 1970 are more likely to finish high school, attend a university, and have a high-skilled occupation if they were born in the former British part. I explain this result by the legacy of high grade repetition rates in the French-speaking education system and their detrimental effect on dropout.;2019;French and British Colonial Legacies in Education: Evidence from the Partition of Cameroon;The Journal of Economic History;Zeitschriftenaufsatz
"EDWARDS, JEREMY; OGILVIE, SHEILAGH";Foreman-Peck and Zhou's claim that late marriage was a major contributor to the industrial revolution in England cannot be sustained. They consider neither other influences on English industrialization nor other European economies where marriage age was high throughout the early modern period but industrialization came much later. It is not possible to argue that late marriage age was a major contributor to English industrialization without analysing other possible contributing factors. Any consideration of this question must assess marriage age alongside other causes of industrialization and explain why other European economies with a higher marriage age industrialized much later than England.;2019;What can we learn from a race with one runner? A comment on Foreman-Peck and Zhou, ‘Late marriage as a contributor to the industrial revolution in England’;The Economic History Review;Zeitschriftenaufsatz
"Eloire, Fabien; Lemercier, Claire; Santarosa, Veronica Aoki";Powers of attorney are often interpreted as evidence of trust among the parties involved. We build a novel dataset of notarized powers of attorney, capturing a wide variety of agency relationships in four large French commercial cities in the eighteenth and nineteenth centuries, to test hypotheses on the relational basis of economic relationships. We find little support for the idea of a radical shift from personal to anonymous relationships during our period. Our results point to more nuanced transformations. The preference for proxies in the same occupation as the principal somewhat declined, while professional proxies emerged and principals used relational chains, especially involving notaries, to find proxies.;2019;Beyond the personal–anonymous divide: agency relations in powers of attorney in France in the eighteenth and nineteenth centuries;The Economic History Review;Zeitschriftenaufsatz
"Enflo, Kerstin; Karlsson, Tobias";Institutions for prevention and resolution of industrial conflicts were introduced all over the world in the early twentieth century. We use a new dataset of geocoded strikes and lockouts to analyze the impact of mediation on conflict outcomes in Sweden for the period 1907–1927. Causality is identified by using the distance from the mediator’s place of residence to the conflict as an instrument. Despite the mediators’ limited authority we find that their involvement in a conflict resulted in about 30 percent higher probability of a compromise. The results add support to institutionalist accounts of the origins of the Swedish Model.;2019;From conflict to compromise: the importance of mediation in Swedish work stoppages 1907–1927;European Review of Economic History;Zeitschriftenaufsatz
"Eriksson, Katherine; Ward, Zachary";We provide the first estimates of immigrant residential segregation between 1850 and 1940 that cover the entire United States and are consistent across time and space. To do so, we adapt the Logan–Parman method to immigrants by measuring segregation based on the nativity of the next-door neighbor. In addition to providing a consistent measure of segregation, we also document new patterns such as high levels of segregation in rural areas, in small factory towns and for non-European sources. Early twentieth-century immigrants spatially assimilated at a slow rate, leaving immigrants’ lived experience distinct from natives for decades after arrival.;2019;The Residential Segregation of Immigrants in the United States from 1850 to 1940;The Journal of Economic History;Zeitschriftenaufsatz
"Espín-Sánchez, José-Antonio; Gil-Guirado, Salvador; Giraldo-Paez, W. Daniel; Vickers, Chris";Information about the income distribution in pre-industrial societies is sparse. We analyze labor income inequality in 18th century Murcia, a city in Mediterranean Spain. The historical income distribution of this region is relatively unknown, despite it having on of the highest urbanization rates in Europe in the pre-industrial era. We first use a census conducted in the 1750s which collected information on income and occupation. We then use this income information to conduct analyses of the income distribution in the 1730s and 1780s using censuses with information about the occupational distribution. We find large changes in the distribution of occupations across the censuses. We show that our results on inequality are sensitive to assumptions regarding household composition and within-occupation distribution of income, but not to the definition of household income.;2019;Labor income inequality in pre-industrial Mediterranean Spain: The city of Murcia in the 18th century;Explorations in Economic History;Zeitschriftenaufsatz
"Esteves, Rui Pedro; Geisler Mesevage, Gabriel";In this paper we survey the study of social networks and their application to economic history. We take the perspective of the applied researcher and focus on empirical methods, leaving out structural models and the literature on strategic network formation (games on networks). Our aim is to assist economic historians in identifying whether networks may be useful frameworks for their research agendas. We highlight the main challenges in using social network methods, namely, measurement error, data completeness, and the usual threats to identification of causal effects. We also review the burgeoning literature in economic history that applies network methods, organized along four main themes: markets, financial intermediation, politics and knowledge diffusion.;2019;Social Networks in Economic History: Opportunities and Challenges;Explorations in Economic History;Zeitschriftenaufsatz
"Federico, Giovanni; Nuvolari, Alessandro; Vasta, Michelangelo";"The origins of the Italian North-South divide have always been controversial. We fill this gap by estimating a new dataset of real wages (Allen ; Allen et al. ) from Unification (1861) to WWI. Italy was very poor throughout the period, with a modest improvement since the late nineteenth century. This improvement started in the Northwest industrializing regions, while real wages in other macro-areas remained stagnant. The gap Northwest/South widened until the end of the period. Focusing on the drivers of regional trends, we find that human capital formation exerted strong positive effect on the growth of real wages.";2019;The Origins of the Italian Regional Divide: Evidence from Real Wages, 1861–1913;The Journal of Economic History;Zeitschriftenaufsatz
FELICE, EMANUELE;The article discusses the new series of services GDP for Italy (1861–1951), which have been incorporated in the Italian historical accounts. Three main results emerge. First, the new historical estimates of services appear to be more reliable than the previous ones, published by Istat (Indagine statistica sullo sviluppo del reddito nazionale dell’Italia dal 1861 al 1956. Annali di Statistica, Istat, Rome, 1957). Second, the differences between the estimates of services make up for most of the differences observed between the old GDP series and the new one, and they have a significant impact on the performance of the Italian economy, also in international comparisons. Third, cointegration analysis suggests the presence of a significant break at the end of the nineteenth century, in line with industry: since then, the traditional services lagged behind, while the innovative ones (and since the Great War also social/collective services) shared the same rising trend as industry. This result confirms the idea of a «great transformation» of the Italian economy, first pioneered by Gerschenkron, which began at the end of the nineteenth century arguably as a consequence of institutional and political changes.;2019;Rethinking the take-off: the role of services in the new economic history of Italy (1861–1951);Cliometrica;Zeitschriftenaufsatz
"Fjesme, Sturla; Galpin, Neal; Moore, Lyndon";There have been claims that British capital was not well deployed in Victorian Britain. There was, allegedly, a lack of support for new and dynamic companies in comparison to the situation in Germany and the US. We find no evidence to support these claims. The London Stock Exchange welcomed young, old, domestic, and foreign firms. It provided funds to firms in old, existing industries as well as patenting firms in ?new-tech? industries at similar costs of capital. If investors did show a preference for older and foreign firms, it was because those firms offered investors better long-run performance. In addition, we show some evidence that investors who worked in the same industry and lived close to the firm going public were allotted more shares in high-quality initial public offerings.;2019;An efficient market? Going public in London, 1891–1911;The Economic History Review;Zeitschriftenaufsatz
"Foreman-Peck, James; Zhou, Peng";Our article on ?Late marriage as a contributor to the industrial revolution in England? is intended to show that the evidence is consistent with the European marriage pattern being a major influence on long-run English economic development, through the accumulation of human capital, broadly defined. Edwards and Ogilvie assert that our approach is inadequate because, they claim, we consider neither other influences on English industrialization, such as non-familial institutions, nor other European economies where marriage age was high throughout the early modern period but where industrialization came later. We do allow for other influences on English industrialization in our model, and the observation that some late industrializers had later marriage than England does not refute our contention, which we test appropriately by simulating the model.;2019;Response to Edwards and Ogilvie;The Economic History Review;Zeitschriftenaufsatz
"Gallais-Hamonno, Georges; Hoang, Thi-Hong-Van; Oosterlinck, Kim";Because of the scarcity of data, there are few quantitative analyses dealing with clandestine markets, despite their prime importance during wartime. This article exploits a unique database of daily prices of gold coins traded in occupied Paris in order to gain insights into the price formation on such a market. First, using data from Switzerland, we show that arbitrage took place, despite the costs and risks involved, and led to a gradual (but incomplete) convergence of gold prices. Furthermore, a study of price seasonality reveals that less strict borders controls during the weekends made the volatility of returns higher at the start of the following week. Second, on the basis of an event study, we provide evidence that laws related to black markets did not have a significant impact on the gold price, except for the most severe law passed on 8 June 1943 which greatly increased the sentences for involvement. Finally, we assess whether the so-called coin premiums existed on this clandestine market, and show that the large price variations for one gram of fine gold contained in different coins were due to market participants? preferences for specific gold coins.;2019;Price formation on clandestine markets: the case of the Paris gold market during the Second World War;The Economic History Review;Zeitschriftenaufsatz
Gallardo-Albarrán, Daniel;GDP suggests that the period 1913–1950 is one of missed opportunities for improving living standards in Europe. However, life in Europe during these years improved significantly, as citizens experienced dramatic declines in mortality, working time and inequality. To measure the contribution of these aspects to broader welfare, I apply a new theoretically-grounded indicator that, contrary to previous measures used in the literature, allows for a direct comparison with GDP across countries and time. I find that income underestimates welfare growth significantly (up to 2.2 percent annually) and that cross-country differences are larger and more persistent than other welfare measures imply. This article calls for a reappraisal of the evolution of living standards during the period 1913–1950 and, more generally, presents an application of a new indicator to measure multi-dimensional welfare in historical contexts.;2019;Missed opportunities? Human welfare in Western Europe and the United States, 1913–1950;Explorations in Economic History;Zeitschriftenaufsatz
"Galofré Vilà, Gregori; Meissner, Christopher M.; McKee, Martin; Stuckler, David";The London Debt Agreement (LDA) eliminated half of West Germany’s external debt. Subsequent years witnessed unprecedented economic growth. The LDA likely contributed to economic growth by creating fiscal space for public investment and social spending, restoring the full convertibility of the Deutsche Mark, and stabilising inflation. The LDA was associated with a substantial and statistically significant rise in real per capita social expenditure relative to other spending categories. Synthetic control methods also show that under the counterfactual of no debt relief, overall expenditure might have been lower by 17 percent. The LDA also facilitated the reintegration of Germany into global markets and full convertibility of the Deutsche Mark by catalysing accumulation of sufficient US-Dollar reserves.;2019;The economic consequences of the 1953 London Debt Agreement;European Review of Economic History;Zeitschriftenaufsatz
Geloso, Vincent J.;"I use a novel dataset of prices and wages from the French colony of Quebec (Canada’s second largest province today) to measure colonial-era living standards. Following Allen’s (Explor Econ Hist 38(4):411–447, 2001; The British industrial revolution in global perspective, Cambridge University, Cambridge, 2009; Econ Hist Rev 68(1):1–22, 2015) welfare-ratios approach, I find that Quebec was poorer than the American colonies and London, but somewhat richer than Paris and Southern England. The Quebec–Paris comparison is sensitive to changes in the basket used to compare wages. Shifting from a bare bones basket to a respectable basket, Quebec loses its advantage over Paris, but remains poorer than the American colonies and London.";2019;Distinct within North America: living standards in French Canada, 1688–1775;Cliometrica;Zeitschriftenaufsatz
"Gómez León, María; Jong, Herman J. de";Using social tables, this article provides new data on inequality in Germany and Britain on an annual basis for the first half of the twentieth century. Inequality trends in these two countries tended to follow opposite patterns. The decline in inequality in Germany was interrupted during the First World War and the Nazi period, while in Britain the reversal took place between the end of the First World War and the Great Depression. Results show that the drop in inequality during the twentieth century in Europe did not follow secular trends, thus supporting the notion of inequality cycles.;2019;Inequality in turbulent times: income distribution in Germany and Britain, 1900–50;The Economic History Review;Zeitschriftenaufsatz
"Gómez-Tello, Alicia; Díez-Minguela, Alfonso; Martinez-Galarraga, Julio; Tirado, Daniel A.";This paper explores regional price variation in early twentieth-century Spain. Using consumer price information from the bulletins published by the Instituto de Reformas Sociales between 1910 and 1920, we build a dataset with a total of 40,581 quotes covering 22 items for each of the 49 provinces. We then estimate provincial price levels following a country-product-dummy (CPD) approach. Our findings suggest that spatial price variation existed across Spanish provinces. In line with the Balassa–Samuelson conjecture, consumer prices and productivity levels were somewhat related. Additionally, it is shown that prices rose in all provinces after the outbreak of World War I. Even more, it appears that this demand-shock brought about spatial asymmetries in price growth.;2019;Regional prices in early twentieth-century Spain: a country-product-dummy approach;Cliometrica;Zeitschriftenaufsatz
GRÁDA, CORMAC Ó.;Ireland on the eve of the Great Famine was a poor and backward economy. The Great Irish Famine of the 1840s is accordingly often considered the classic example of Malthusian population economics in action. However, unlike most historical famines, the Great Famine was not the product of a harvest shortfall, but of a major ecological disaster. Because there could be no return to the status quo ante, textbook famine relief in the form of public works or food aid was not enough. Fortunately, in an era of open borders mass emigration helped contain excess mortality, subject to the limitation that the very poorest could not afford to leave. In general, the authorities did not countenance publicly assisted migration. This article discusses the lessons to be learned from two exceptional schemes for assisting destitute emigrants during and in the wake of the famine.;2019;The Next World and the New World: Relief, Migration, and the Great Irish Famine;The Journal of Economic History;Zeitschriftenaufsatz
"Gray, Rowena; Narciso, Gaia; Tortorici, Gaspare";Despite the significant attention paid to the current consequences of globalization for migration behavior, there are few historical accounts of the effect of commodity market integration at the local level. We set our paper within the context of the first globalization era, when migration flows were largely unregulated, and highlight how exogenous shocks in agricultural commodity prices influenced international migration flows from Italian provinces between 1881 and 1912. To do this, we construct an index of global price exposure based on the initial provincial agricultural production structures. Our analysis quantifies the contribution of globalization-induced agricultural-price shocks to migration decisions, alongside more traditional explanatory factors such as migrant networks and landholding systems. We find evidence that agricultural-price shocks are positively related to the propensity to migrate, as migration tended to increase in proportion with agricultural commodity prices. This result suggests that liquidity constraints were binding until agricultural incomes reached a certain threshold. These findings can inform our understanding of present-day migration responses in developing countries in the face of even more rapid globalization but higher barriers to legal migration.;2019;Globalization, agricultural markets and mass migration: Italy, 1881–1912;Explorations in Economic History;Zeitschriftenaufsatz
Greenwald, Diana Seave;This article proposes a novel interdisciplinary approach to the economic history of art. Engaging with research questions defined by the existing art-historical literature, it draws on econometric approaches to understand better and measure how social and economic change affected artistic output?particularly output of rural imagery?in nineteenth-century France. To facilitate this quantitative approach, the article introduces a novel data source that provides information about more than 140,000 works of art displayed in Paris during the nineteenth century. Analysis of this dataset demonstrates that artists? ability to have regular access to the countryside, largely because of artists? colonies and inexpensive train travel from Paris, had the greatest demonstrable effect on the output of landscape and rural genre painting in France during the nineteenth century.;2019;Modernization and rural imagery at the Paris Salon: an interdisciplinary approach to the economic history of art;The Economic History Review;Zeitschriftenaufsatz
